,Medicine name,Therapeutic area,International non-proprietary name (INN) / common name,Substance,,Interaction term,
,,,,valsartan,,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.",
,COVID-19 Vaccine Moderna,COVID-19 virus infection,COVID-19 mRNA Vaccine (nucleoside modified),CX-024414 (single-stranded,x,,
,Neparvis,Heart Failure,"sacubitril, valsartan",sacubitril,,,
,Entresto,Heart Failure,"sacubitril, valsartan",Risankizumab,x,,
,Skyrizi,Psoriasis,risankizumab,Niraparib (tosilate monohydrate),,,
,Zejula,"Fallopian Tube Neoplasms, Peritoneal Neoplasms, Ovarian Neoplasms",niraparib,ioflupane (123l),,"Take with or without food. Take at the same time every day.
",
,DaTSCAN,"Tomography, Emission-Computed, Single-Photon, Lewy Body Disease, Parkinson Disease, Alzheimer Disease",ioflupane (123l),eravacycline,,,
,Xerava,"Infection, Bacterial Infections",eravacycline,clopidogrel (as hydrogen sulfate),x,,
,Clopidogrel ratiopharm,"Myocardial Infarction, Acute Coronary Syndrome, Peripheral Vascular Diseases, Stroke",clopidogrel,bexarotene,,Take with food,
,Targretin,"Lymphoma, T-Cell, Cutaneous",bexarotene,cabozantinib,,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase levels of cabozantinib.
Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of cabozantinib.
Take on an empty stomach. Separate the administration of cabozantinib from food by at least 1 hour before or 2 hours after eating.
Take with a full glass of water.",
,Cometriq,Thyroid Neoplasms,cabozantinib,olanzapine,,Avoid alcohol. Alcohol may potentiate CNS adverse effects and orthostatic hypotension.,
,Zalasta,"Schizophrenia, Bipolar Disorder",olanzapine,etanercept,x,,
,Erelzi,"Arthritis, Psoriatic, Psoriasis, Arthritis, Juvenile Rheumatoid, Arthritis, Rheumatoid, Spondylitis, Ankylosing",etanercept,Saxagliptin,,Take with food. Food increases total drug exposure.,
,Clopidogrel Teva (hydrogen sulphate),"Acute Coronary Syndrome, Peripheral Vascular Diseases, Myocardial Infarction, Stroke",clopidogrel,liraglutide,x,,
,Qtern,"Diabetes Mellitus, Type 2","saxagliptin, dapagliflozin",emtricitabine,,Take with or without food. The absorption is unaffected by food.,
,Saxenda,"Obesity, Overweight",liraglutide,budesonide,,"Take with or without food. Food delays drug absorption, but not to a clinically significant extent.",
,Odefsey,HIV Infections,"emtricitabine, rilpivirine, tenofovir alafenamide",belimumab,x,,
,DuoResp Spiromax,"Pulmonary Disease, Chronic Obstructive, Asthma","budesonide, formoterol",Nomegestrol acetate,x,,
