ABNORMAL FINDINGS ON IMAGING OF LIVER AND BILARY TRACT,R93.2
ABNORMAL FINDINGS ON IMAGING OF OTHER ABDOMINAL REGIONS,R93.5
ABNORMAL TUMOR MARKERS OTHER,R97.8
ALCOHOLIC CIRRHOSIS OF LIVER W/O ASCITES,K70.30
ALCOHOLIC CIRRHOSIS OF LIVER WITH ASCITES,K70.31
AUTOIMMUNE HEPATITIS,K75.4
BENIGN NEOPLASM OF LIVER,D13.4
"CHRONIC HEPATITIS, UNSPEC",K7.9
CHRONIC VIRAL HEAPTITIS B W/O DELTA-AGENT,B18.1
CHRONIC VIRAL HEPATITIS C,F18.2
CIRRHOSIS OF LIVER OTHER,K74.69
"CIRRHOSIS OF LIVER, UNSPEC",K74.60
"HEMOCHROMATOSIS, UNSPEC",E83.119
HEPATIC FIBROSIS,K74.0
HEREDITARY HEMOCHROMATOSIS,E83.110
LIVER CELL CARCINOMA,C22.0
MALIGNANT NEOPLASM OF LIVER PERSONAL HISTORY OF,Z85.05
"MALIGNANT NEOPLASM OF LIVER, NOT SPEC",C22.9
"MALIGNANT NEOPLASM OF LIVER, PRIMARY, UNSPEC",C22.8
"MALIGNANT NEOPLASM OF UNSPE TESTIS, UNSP DESCENDED OR UNDESCENDED",C62.90
MIXED HYPERLIPIDEMIA,E78.2
PERSONAL HISTORY OF MALIGNANT NEOPLASM OF LIVER,Z85.05
PERSONAL HISTORY OF MALIGNANT NEOPLASM OF OVARY,Z85.43
,
BASIC METABOLIC PANEL - 80048,
"DIABETES MELLITIS, UNSPECIFIED",E11.9
"HEART FAILURE, UNSPECIFIED",I50.9
"HYPERLIPIDEMIA, UNSPECIFIED",E78.5
"HYPERTENSION, ESSENTIAL UNSPECIFIED",I10
HYPONATREMIA,E87.1
HYPOKALEMIA,E87.6
,
,
,
"HYPOTHYROIDISM, UNSPECIFIED",E03.9
MIXED HYPERLIPIDEMIA,E78.2
"OBESITY, UNSPECIFIED",E66.9
OTHER LONG-TERM CURRENT DRUG THERAPY,Z79.899
OTHER SPECIFIED HYPOTHYRODISM,E03.8
OTHER SPECIFIED ABNORMAL FINDINGS OF BLOOD CHEMISTRY,R79.89
RENAL INSUFFICIENCY ACUTE,N28.9
TYPE 2 DIABETES MELLITUS WITH HYPERGLYCEMIA,E11.65
TYPE 2 DIABETES MELLITUS WITH DIABETIC NEPHROPATHY,E11.21
TYPE 2 DIABETES MELLITUS WITH OTHER SPECIFIED COMPLICATIONS,E11.69
TYPE 2 DIABETES MELLITUS WITHOUT COMPLICATIONS,E11.9
URINARY TRACT INFECTION (UTI),N39.0
B-TYPE NATRIURETIC PEPTIC (BNP) 83880 (NCD),
ACUTE OR CHRONIC DIASTOLIC CONGESTIVE HEART FAILURE,I50.33
ACUTE SYSTOLIC CONGESTIVE HEART FAILURE,I50.21
CHRONIC DIASTOLIC CONGESTIVE HEART FAILURE,I50.32
CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH EXACERATION,J44.1
CHRONIC SYSTOLIC CONGESTIVE HEART FAILURE,I50.22
"CONGESTIVE HEART FAILURE, UNSPECIFIED",I50.9
"DYSPNEA, UNSPECIFIED",R06.00
"HEART FAILURE, UNSPECIFIED",I50.9
HYPERTENSIVE HEART AND CHORNIC KIDNEY DISEASE WITH HEART FAILURE,I13.0
HYPERTENSIVE HEART DISEASE WITH HEART FAILURE,I11.0
OTHER FORMS OF DYSPNEA,R06.09
SHORTNESS OF BREATH,R06.02
UNSPECIFIED ABNORALITITES OF BREATHING,R06.9
UNSPECIFIED DIASTOLIC CONGESTIVE HEART FAILURE,I50.31
UNSPECIFIED SYSTOLIC CONGESTIVE HEART FAILURE,I50.0
WHEEZING,R06.2
CEA 82378 (NCD),
ELEVATED CARCINOEMBRYONIC ANTIGEN (CEA),R97.0
MALIGNANT NEOPLASM OF CECUM,C18.0
MALIGNANT NEOPLASM OF ASCENDING COLON,C18.2
MALIGNANT NEOPLASM OF TRANSVERSE COLON,C18.4
MALIGNANT NEOPLASM OF SIGMOID COLON,C18.7
"MALIGNANT NEOPLASM OF COLON, UNSPECIFIED",C18.9
MALIGNANT NEOPLASM OF RECTUM,C20
MALIGNANT NEOPLASM OF UPPER LOBE RIGHT BRONCHUS OR LUNG,C34.11
MALIGNANT NEOPLASM OF UNSPECIFIED SITE RIGHT FEMALE BREAST,C50.911
MALIGNANT NEOPLASM OF UNSPECIFIED SITE LEFT FEMALE BREAST,C50.912
MALIGNANT NEOPLASM OF UNSPECIFIED SITE FEMALE BREAST UNSPECIFIED,C50.919
OTHER ABNORMAL TUMOR MARKER,R97.8
OTHER SPECIFIED ABNORMAL FINDINGS OF BLOOD CHEMISTRY,R79.89
PERSONAL HISTORY OF OTHER MALIGNANT NEOPLASM OF LARGE INTESTINE,Z85.038
PERSONAL HISTORY OF MALIGNANT NEOPLASM OF BREAST,Z85.3
"COMPLETE BLOOD COUNT - CBC (NCD) 85004,85007,85008,85013,85014,85018,85025,85027,85032,85048,85049",
ABNORMAL LEAD LEVEL IN BLOOD,R78.71
ABDOMINAL PAIN UNSPECIFIED,R10.9
ABNORMAL WEIGHT LOSS,R63.4
"ANEMIA, IRON DEFICIENCY UNSPECIFIED",D50.9
"ANEMIA, NUTRITIONAL UNSPECIFIED",D53.9
"ANEMIA, UNSPECIFIED",D64.9
ANTHEROSCLEROTIC HEART DISEASE OF NATIVE CORONARY ARTERY WITHOUT ANGINA,I25.10
CHRONIC KIDNEY DISEASE STAGE 3 MODERATE,N18.3
DIZZINESS AND GIDDINESS,R42
ENCOUNTER FOR THERAPEUTIC DRUG MONITORING,Z51.81
GASTRO-ESOPHAGEAL REFLUX DISEASE WITHOUT ESOPHAGITIS,K21.9
"HYPERTENSION, ESSENTIAL UNSPECIFIED",I10
HYPERLIPIDEMIA UNSPECIFIED,E78.5
HYPOTHYROIDISM UNSPECIFIED,E03.9
IMPARIED FASTING GLUCOSE,R73.01
LONG-TERM USE OF ANTICOAGULANTS,Z79.01
