diseaseId2	diseaseId1	source	Ngenes	NgenesD1	NgenesD2	union_genes	jaccard_genes	Nvariants	NvariantsD1	NvariantsD2	union_variant	jaccard_variant	diseaseId1_name	diseaseId2_name
3148	C0001080	C1864436	CURATED	1	1	1	1	1	7	7	9	9	0.777777777777778	Muenke Syndrome	Achondroplasia
3149	C0001080	C1864852	CURATED	1	1	1	1	1	7	10	9	12	0.583333333333333	CATSHL syndrome	Achondroplasia
3153	C0001080	C2674173	CURATED	1	1	1	1	1	7	7	9	9	0.777777777777778	Achondroplasia, Severe, With Developmental Delay And Acanthosis Nigricans	Achondroplasia
3154	C0001080	C2677099	CURATED	1	1	1	1	1	7	8	9	10	0.7	CROUZON SYNDROME WITH ACANTHOSIS NIGRICANS (disorder)	Achondroplasia
3834	C0001193	C1865070	CURATED	1	1	2	2	0.5	8	9	14	15	0.533333333333333	SCAPHOCEPHALY, MAXILLARY RETRUSION, AND MENTAL RETARDATION	Apert syndrome
3846	C0001193	C2936791	CURATED	1	2	2	3	0.333333333333333	9	10	14	15	0.6	Antley-Bixler Syndrome, Autosomal Dominant	Apert syndrome
5276	C0001418	C1266184	CURATED	0	0	0	0	0	1	1	1	1	1	Atypical Teratoid Rhabdoid Tumor	Adenocarcinoma
9704	C0001973	C0236664	CURATED	3	4	268	269	0.0111524163568773	180	180	231	231	0.779220779220779	Alcohol-Related Disorders	Alcoholic Intoxication, Chronic
9715	C0001973	C0236970	CURATED	1	1	268	268	0.00373134328358209	180	180	231	231	0.779220779220779	Alcohol-Induced Disorders	Alcoholic Intoxication, Chronic
13701	C0002622	C1963167	CURATED	0	0	0	0	0	2	2	2	2	1	Memory Impairment, CTCAE 3.0	Amnesia
13730	C0002622	C3887551	CURATED	0	0	0	0	0	2	2	2	2	1	Memory dysfunction	Amnesia
20713	C0003507	C4021536	CURATED	0	0	0	0	0	2	2	2	2	1	Mild conductive hearing impairment	Aortic Valve Stenosis
23717	C0003868	C0018099	CURATED	0	0	0	0	0	2345	2348	2345	2348	0.998722316865417	Gout	Arthritis, Gouty
27205	C0004099	C0004144	CURATED	0	0	0	0	0	2	2	2	2	1	Atelectasis	Asthma, Exercise-Induced
27213	C0004099	C0032231	CURATED	0	0	0	0	0	2	2	2	2	1	Pleurisy	Asthma, Exercise-Induced
27214	C0004099	C0035455	CURATED	0	0	0	0	0	2	2	2	2	1	Rhinitis	Asthma, Exercise-Induced
27219	C0004099	C0149514	CURATED	0	0	0	0	0	2	2	2	2	1	Acute bronchitis	Asthma, Exercise-Induced
27221	C0004099	C0149781	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Spontaneous pneumothorax	Asthma, Exercise-Induced
27226	C0004099	C0578475	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Cyanotic attack	Asthma, Exercise-Induced
27227	C0004099	C0581354	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Recurrent sinusitis	Asthma, Exercise-Induced
27238	C0004099	C4025885	CURATED	0	0	0	0	0	2	2	2	2	1	Abnormality of the uvula	Asthma, Exercise-Induced
28095	C0004144	C0004099	CURATED	0	0	0	0	0	2	2	2	2	1	Asthma, Exercise-Induced	Atelectasis
28103	C0004144	C0032231	CURATED	0	0	0	0	0	2	2	2	2	1	Pleurisy	Atelectasis
28104	C0004144	C0035455	CURATED	0	0	0	0	0	2	2	2	2	1	Rhinitis	Atelectasis
28109	C0004144	C0149514	CURATED	0	0	0	0	0	2	2	2	2	1	Acute bronchitis	Atelectasis
28111	C0004144	C0149781	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Spontaneous pneumothorax	Atelectasis
28116	C0004144	C0578475	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Cyanotic attack	Atelectasis
28117	C0004144	C0581354	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Recurrent sinusitis	Atelectasis
28128	C0004144	C4025885	CURATED	0	0	0	0	0	2	2	2	2	1	Abnormality of the uvula	Atelectasis
32859	C0004763	C0279628	CURATED	1	14	16	29	0.0344827586206897	22	33	31	42	0.523809523809524	Adenocarcinoma Of Esophagus	Barrett Esophagus
33800	C0004936	C0033975	CURATED	3	101	12	110	0.0272727272727273	49	68	49	68	0.720588235294118	Psychotic Disorders	Mental disorders
41471	C0005893	C0578022	CURATED	0	0	0	0	0	252	252	252	252	1	Finding of body mass index	Body mass index procedure
51830	C0007102	C1319315	CURATED	11	96	159	244	0.0450819672131148	371	420	416	465	0.797849462365591	Adenocarcinoma of large intestine	Malignant tumor of colon
