v1	geneId	geneSymbol	DSI	DPI	diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType	score	EI	YearInitial	YearFinal	NofPmids	NofSnps	source
7	2	A2M	0.529	0.769	C2239176	Livercarcinoma	disease	C06;C04	NeoplasticProcess	0.51	1	2004	2004	1	0	CTD_human
76	16	AARS1	0.647	0.462	C2750090	Charcot-Marie-ToothDisease,Axonal,Type2n	disease	C16;C10	DiseaseorSyndrome	0.71	1	2010	2019	5	3	CTD_human;GENOMICS_ENGLAND;UNIPROT
77	16	AARS1	0.647	0.462	C4225361	EPILEPTICENCEPHALOPATHY,EARLYINFANTILE,29	disease		DiseaseorSyndrome	0.7	1	2015	2017	2	4	CTD_human;GENOMICS_ENGLAND;UNIPROT
100	18	ABAT	0.628	0.538	C0277839	HoffmansReflex	phenotype	C23;C10	Finding	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0277850	Reflex,Pendular	phenotype	C23;C10	Finding	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0278211	Reflex,Corneal,Absent	phenotype	C23;C10	Finding	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0342708	Gammaaminobutyricacidtransaminasedeficiency	disease	C16;C18	DiseaseorSyndrome	0.70	1	1998	2019	5	8	CTD_human;GENOMICS_ENGLAND;ORPHANET;UNIPROT
val	18	ABAT	0.628	0.538	C0422850	Seizures,Somatosensory	phenotype	C23;C10	PathologicFunction	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0422852	Seizures,Auditory	phenotype	C23;C10	PathologicFunction	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0422853	Olfactoryseizure	phenotype	C23;C10	DiseaseorSyndrome	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0422854	Gustatoryseizure	phenotype	C23;C10	SignorSymptom	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0422855	Vertiginousseizure	phenotype	C23;C10	DiseaseorSyndrome	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0424230	Motorretardation	phenotype	C23;C10;F01	Finding	0.40	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0424605	Developmentaldelay(disorder)	phenotype	F03	MentalorBehavioralDysfunction	0.30	1	2016	2016	1	0	GENOMICS_ENGLAND
val	18	ABAT	0.628	0.538	C0427201	FloppyMuscles	phenotype	C23;C10	SignorSymptom	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0427202	MuscleToneAtonic	phenotype	C23;C10	SignorSymptom	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0494475	Tonic-clonicseizures	disease	C23;C10	DiseaseorSyndrome	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0522345	Reflex,Acoustic,Abnormal	phenotype	C23;C10	Finding	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0557874	Globaldevelopmentaldelay	disease		MentalorBehavioralDysfunction	0.40	1	2016	2016	1	0	GENOMICS_ENGLAND
val	18	ABAT	0.628	0.538	C0558845	Reflex,Ankle,Absent	phenotype	C23;C10	Finding	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0558846	Reflex,Triceps,Absent	phenotype	C23;C10	Finding	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0558847	Reflex,Biceps,Absent	phenotype	C23;C10	Finding	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0576612	Reflex,Anal,Absent	phenotype	C23;C10	Finding	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0743002	AbnormalDeepTendonReflex	phenotype	C23;C10	Finding	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0751056	Non-epilepticconvulsion	phenotype	C23;C10	SignorSymptom	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0751110	SingleSeizure	disease	C23;C10	DiseaseorSyndrome	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0751123	AtonicAbsenceSeizures	phenotype	C23;C10	DiseaseorSyndrome	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0751330	UnilateralHypotonia	phenotype	C23;C10	SignorSymptom	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0751456	DevelopmentalPsychomotorDisorders	group	C23;C10;F01	MentalorBehavioralDysfunction	0.30	1	1999	1999	1	0	CTD_human
val	18	ABAT	0.628	0.538	C0751468	BulbocavernosusReflex,Decreased	phenotype	C23;C10	Finding	0.30	1	1999	1999	1	0	CTD_human
